product_name,category,img,SKUNO,sort_description,long_description,mrp,rp,weight,stock,temp_rate
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/3555809/umiya-bhagalpuri-multicolour-sarees-5-product.jpg,vmo35,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,284 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/5555809/umiya-bhagalpuri-multicolour-sarees-6-product.jpg,vmo36,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,285 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/8555809/umiya-bhagalpuri-multicolour-sarees-7-product.jpg,vmo37,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,286 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/9555809/umiya-bhagalpuri-multicolour-sarees-8-product.jpg,vmo38,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,287 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/0655809/umiya-bhagalpuri-multicolour-sarees-9-product.jpg,vmo39,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,288 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/1655809/umiya-bhagalpuri-multicolour-sarees-10-product.jpg,vmo40,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,289 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/3655809/umiya-bhagalpuri-multicolour-sarees-11-product.jpg,vmo41,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,290 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/5655809/umiya-bhagalpuri-multicolour-sarees-12-product.jpg,vmo42,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,291 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/7655809/umiya-bhagalpuri-multicolour-sarees-13-product.jpg,vmo43,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,292 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/8655809/umiya-bhagalpuri-multicolour-sarees-14-product.jpg,vmo44,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,293 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/0755809/umiya-bhagalpuri-multicolour-sarees-15-product.jpg,vmo45,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,294 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/1755809/umiya-bhagalpuri-multicolour-sarees-16-product.jpg,vmo46,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,295 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/3755809/umiya-bhagalpuri-multicolour-sarees-17-product.jpg,vmo47,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,296 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/4755809/umiya-bhagalpuri-multicolour-sarees-18-product.jpg,vmo48,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,297 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/4265809/umiya-bhagalpuri-multicolour-sarees-19-product.jpg,vmo49,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,298 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/7265809/umiya-bhagalpuri-multicolour-sarees-20-product.jpg,vmo50,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,299 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/9265809/umiya-bhagalpuri-multicolour-sarees-21-product.jpg,vmo51,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,300 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/2365809/umiya-bhagalpuri-multicolour-sarees-22-product.jpg,vmo52,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,301 gm,100,599
